sample	mode	scheme	n	k_tp	tp_rate	ci_lo	ci_hi	fold_vs_baseline	fp_reduction_vs_baseline
H2009	paired_full	S5	3691	3690	0.999729070712544	0.9984668110405567	0.9999521739573386	1.0003759546713527	0.5810204583115509
H2009	paired_full	S6	200	200	1.0	0.9811539940816791	1.0	1.0006470592661145	1.0
H2009	paired_full	S7	238	238	1.0	0.9841152225258184	0.9999999999999999	1.0006470592661145	1.0
COLO829	paired_full	baseline	37458	35185	0.9393187036147151	0.9368555720057301	0.9416917335810833	1.0	0.0
COLO829	paired_full	S1	244	220	0.9016393442622951	0.8578185384901622	0.9330091514537375	0.9598865015596717	-0.6209386021218436
COLO829	paired_full	S2	0	0					
COLO829	paired_full	S3	4	4	1.0	0.5100999795960008	1.0	1.0646013926389086	1.0
COLO829	paired_full	S4	27319	25711	0.941139866027307	0.93828633877272	0.9438693444780295	1.001938812040667	0.030011923295586055
COLO829	paired_full	S5	248	224	0.9032258064516129	0.860045653200273	0.9341043204339478	0.9615754514157884	-0.5947944311198788
COLO829	paired_full	S6	0	0					
COLO829	paired_full	S7	1	1	1.0	0.20654329147389294	1.0	1.0646013926389086	1.0
