RegionID	NumReads	NumCpGs	VC_maxdist	VC_skip	Sig_maxdist	Sig_skip	CramersV_maxdist	CramersV_skip	PermanovaP_maxdist	PermanovaP_skip	PermanovaValid_maxdist	PermanovaValid_skip
120	141	204	Strong	Strong	False	False	0	0	0.01	0.01	True	True
121	122	178	Strong	Strong	False	False	0	0	0.01	0.01	True	True
122	131	210	Strong	Strong	False	True	0	1	0.01	0.01	True	True
123	115	188	Strong	Strong	True	False	0.3588	0	0.01	0.01	True	True
124	129	138	Strong	Weak	False	False	0	0	0.01	1	True	False
125	120	195	Weak	Weak	False	False	0	0	1	1	False	False
126	408	150	Noise	Noise	False	False	0	0	1	1	False	False
127	278	225	Weak	Strong	False	False	0	0	1	0.01	False	True
128	121	145	Weak	Weak	False	False	0	0	1	0.01	False	True
129	136	157	Weak	Strong	False	False	0	0	1	0.01	False	True
130	109	274	Weak	Strong	False	False	0	0	0.01	0.01	True	True
131	101	253	Strong	Strong	False	False	0.0874	0	0.01	0.01	True	True
132	113	98	Weak	Strong	False	False	0	0	1	0.01	False	True
133	123	161	Strong	Strong	False	False	0	0	0.01	0.01	True	True
134	91	271	Weak	Noise	False	False	0	0	1	1	False	False
135	133	421	Strong	Strong	False	False	0	0	0.01	0.01	True	True
136	136	425	Weak	Strong	False	False	0	0	1	0.01	False	True
137	141	167	Weak	Strong	False	False	0	0	1	0.01	False	True
138	134	126	Weak	Strong	False	False	0	0	1	0.01	False	True
139	125	131	Strong	Strong	True	True	0.3913	0.5772	0.01	0.01	True	True
140	117	151	Strong	Strong	False	False	0	0	0.01	0.01	True	True
141	132	134	Strong	Strong	False	False	0	0	0.01	0.01	True	True
142	135	94	Strong	Strong	False	True	0	0.6745	0.01	0.01	True	True
143	103	135	Weak	Strong	False	True	0	1	1	0.01	False	True
144	112	157	Strong	Strong	False	True	0	1	0.01	0.01	True	True
145	125	141	Strong	Strong	False	False	0	0	0.01	0.01	True	True
146	145	116	Strong	Strong	False	True	0	0.4638	0.01	0.01	True	True
147	125	148	Weak	Weak	False	False	0	0	1	1	False	False
148	113	96	Weak	Weak	False	False	0	0	1	1	False	False
149	123	196	Weak	Weak	False	False	0	0	1	1	False	False
150	110	147	Weak	Strong	False	False	0	0	1	0.01	False	True
151	82	144	Weak	Strong	False	False	0	0	1	0.01	False	True
152	100	157	Weak	Strong	False	False	0	0	1	0.01	False	True
153	130	116	Weak	Weak	False	False	0	0	1	1	False	False
154	120	103	Weak	Strong	False	True	0	0.9231	1	0.01	False	True
155	107	114	Strong	Strong	False	True	0	0.6693	0.01	0.01	True	True
156	112	126	Weak	Strong	False	False	0	0	1	0.01	False	True
157	132	120	Weak	Strong	False	False	0	0	1	0.01	False	True
158	116	186	Strong	Strong	False	False	0	0	0.01	0.01	True	True
159	125	147	Strong	Weak	False	False	0	0	0.01	1	True	False
160	132	113	Weak	Strong	False	False	0	0	1	0.01	False	True
161	114	122	Weak	Strong	False	False	0	0	1	0.01	False	True
162	127	99	Strong	Strong	False	False	0	0	0.01	0.01	True	True
163	147	223	Strong	Strong	False	False	0	0	0.01	0.01	True	True
164	158	90	Weak	Noise	False	False	0	0	1	1	False	False
165	142	99	Weak	Noise	False	False	0	0	1	1	False	False
166	137	292	Weak	Weak	False	False	0	0	1	1	False	False
167	139	305	Weak	Weak	False	False	0	0	1	1	False	False
168	114	223	Weak	Strong	False	False	0	0	1	0.01	False	True
169	105	164	Weak	Strong	False	False	0	0	1	0.01	False	True
170	104	156	Weak	Weak	False	False	0	0	1	1	False	False
171	127	180	Weak	Strong	False	False	0	0	1	0.01	False	True
172	119	143	Strong	Strong	False	True	0	0.6176	0.01	0.01	True	True
173	132	121	Strong	Strong	True	True	0.1677	1	0.01	0.01	True	True
174	107	136	Strong	Strong	False	True	0	1	0.01	0.01	True	True
175	123	102	Weak	Strong	False	True	0	1	1	0.01	False	True
176	99	117	Weak	Strong	False	True	0	0.9021	1	0.01	False	True
177	106	125	Weak	Strong	False	False	0	0	1	0.01	False	True
178	116	100	Weak	Noise	False	False	0	0	1	1	False	False
179	128	131	Weak	Strong	False	False	0	0	1	0.01	False	True
180	114	135	Weak	Weak	False	False	0	0	1	1	False	False
181	143	149	Weak	Weak	False	False	0	0	1	1	False	False
182	125	175	Weak	Weak	False	False	0	0	1	1	False	False
183	160	282	Weak	Weak	False	False	0	0	1	1	False	False
184	94	214	Strong	Strong	True	True	0.5506	0.6752	0.01	0.01	True	True
185	141	175	Strong	Strong	False	True	0	0.9527	0.01	0.01	True	True
