RegionID	NumReads	NumCpGs	VC_maxdist	VC_skip	Sig_maxdist	Sig_skip	CramersV_maxdist	CramersV_skip	PermanovaP_maxdist	PermanovaP_skip	PermanovaValid_maxdist	PermanovaValid_skip
364	140	93	Weak	Noise	False	False	0	0	1	1	False	False
365	145	99	Weak	Noise	False	False	0	0	1	1	False	False
366	98	50	Weak	Noise	False	False	0	0	1	1	False	False
368	117	200	Weak	Noise	False	False	0	0	0.01	1	True	False
372	135	85	Strong	Weak	False	False	0	0	0.01	1	True	False
373	124	104	Weak	Strong	False	False	0	0	1	0.01	False	True
374	104	143	Weak	Strong	False	False	0	0	1	0.01	False	True
375	107	143	Weak	Strong	False	False	0	0	1	0.01	False	True
376	134	140	Weak	Strong	False	False	0	0	1	0.01	False	True
377	129	138	Strong	Strong	False	True	0	1	0.01	0.01	True	True
378	124	104	Weak	Strong	False	False	0	0	1	0.01	False	True
379	156	179	Noise	Weak	False	False	0	0	1	1	False	False
382	131	89	Weak	Strong	False	True	0	0.7673	1	0.01	False	True
385	127	151	Weak	Strong	False	True	0	0.3439	0.01	0.01	True	True
386	134	184	Weak	Noise	False	False	0	0	1	1	False	False
388	160	129	Weak	Noise	False	False	0	0	1	1	False	False
389	141	47	Weak	Strong	False	True	0	0.3077	1	0.01	False	True
390	122	68	Weak	Strong	False	False	0	0	1	0.01	False	True
397	103	88	Weak	Noise	False	False	0	0	0.01	1	True	False
398	132	89	Weak	Strong	False	False	0	0	1	0.01	False	True
399	107	85	Weak	Strong	False	False	0	0	1	0.01	False	True
400	141	136	Strong	Noise	False	False	0	0	0.01	1	True	False
402	136	314	Weak	Strong	False	True	0	0.5976	1	0.01	False	True
403	134	50	Weak	Noise	False	False	0	0	1	1	False	False
404	132	50	Weak	Noise	False	False	0	0	1	1	False	False
407	114	65	Weak	Strong	False	False	0	0	1	0.01	False	True
408	165	133	Weak	Strong	False	True	0	0.6686	1	0.01	False	True
409	127	62	Weak	Strong	False	False	0	0	1	0.01	False	True
410	116	70	Weak	Strong	False	False	0	0	1	0.01	False	True
411	131	201	Strong	Strong	False	True	0	0.5479	0.01	0.01	True	True
412	121	92	Weak	Strong	False	True	0	0.6457	1	0.01	False	True
413	112	109	Weak	Strong	False	True	0	0.5379	1	0.01	False	True
414	121	99	Weak	Strong	False	False	0	0	1	0.01	False	True
415	115	143	Weak	Strong	False	False	0	0	1	0.01	False	True
416	80	57	Weak	Strong	False	True	0	0.5457	1	0.01	False	True
417	106	119	Weak	Strong	False	True	0	0.549	0.01	0.01	True	True
418	126	55	Weak	Strong	False	True	0	1	0.01	0.01	True	True
419	126	61	Weak	Strong	False	False	0	0	1	0.01	False	True
420	134	40	Strong	Strong	False	True	0	0.9303	0.01	0.01	True	True
421	110	92	Weak	Strong	False	True	0	0.9735	1	0.01	False	True
422	92	61	Weak	Strong	False	False	0	0	1	0.01	False	True
423	132	39	Weak	Strong	False	False	0	0	1	0.01	False	True
424	103	135	Weak	Strong	False	False	0	0	1	0.01	False	True
425	117	67	Weak	Strong	False	False	0	0	1	0.01	False	True
426	105	82	Weak	Strong	False	False	0	0	1	0.01	False	True
427	114	73	Weak	Strong	False	True	0	0.6566	1	0.01	False	True
428	128	62	Weak	Strong	False	True	0	0.956	1	0.01	False	True
