sample	side	af_b	cn_t	n	TP_rate	HP_Ratio_AUC	HP_Ratio_med	is_high_AUC
H1437	Inner	Inter_hi	High	84	0.81	0.556	1.0	False
H1437	Inner	Extr_hi	Loss	4870	0.723	0.503	1.0	False
H1437	Inner	Extr_hi	Sub	6441	0.742	0.509	1.0	False
H1437	Inner	Extr_hi	Diploid	428	0.591	0.506	1.0	False
H1437	Inner	Extr_hi	Gain	133	0.647	0.52	1.0	False
H1437	Inner	Extr_hi	High	68	0.529	0.533	1.0	False
H1437	Outer	Extr_lo	Sub	35	0.943	0.629	0.377	False
H1437	Outer	Extr_lo	Diploid	77	0.948	0.955	0.435	True
H1437	Outer	Extr_lo	Gain	37	0.919	0.961	0.495	True
H1437	Outer	Inter_lo	Loss	246	0.728	0.554	0.378	False
H1437	Outer	Inter_lo	Sub	4966	0.78	0.524	0.381	False
H1437	Outer	Inter_lo	Diploid	6880	0.81	0.524	0.392	False
H1437	Outer	Inter_lo	Gain	2158	0.833	0.546	0.421	False
H1437	Outer	Inter_lo	High	341	0.789	0.639	0.562	False
H1437	Outer	NearHalf	Loss	286	0.727	0.52	0.488	False
H1437	Outer	NearHalf	Sub	2308	0.759	0.508	0.479	False
H1437	Outer	NearHalf	Diploid	4145	0.727	0.503	0.494	False
H1437	Outer	NearHalf	Gain	2907	0.725	0.52	0.5	False
H1437	Outer	NearHalf	High	313	0.649	0.534	0.496	False
H1437	Outer	Inter_hi	Loss	227	0.652	0.519	0.324	False
H1437	Outer	Inter_hi	Sub	3884	0.723	0.508	0.36	False
H1437	Outer	Inter_hi	Diploid	4707	0.737	0.521	0.361	False
H1437	Outer	Inter_hi	Gain	1047	0.755	0.501	0.357	False
H1437	Outer	Inter_hi	High	135	0.719	0.563	0.604	False
